,precision,recall,f1-score,support
Post-30s,0.7253382676072626,0.6906728333883934,0.7075812274368231,9081.0
Pre-30s,0.7546724890829695,0.7844045025417574,0.7692513130953441,11016.0
accuracy,0.74205105239588,0.74205105239588,0.74205105239588,0.74205105239588
macro avg,0.740005378345116,0.7375386679650754,0.7384162702660836,20097.0
weighted avg,0.7414175721689578,0.74205105239588,0.7413851615371498,20097.0
